QuestionID,CodeWorkoutQuestionTitle,Max Score,X-WorkoutOfferingID,Description,Correct Question
3, in1To10,1.0,11494,"Write a function in Java that implements the following logic: Given a number n, return true if n is in the range 1..10, inclusive. Unless ""outsideMode"" is true, in which case return true if the number is less or equal to 1, or greater or equal to 10.","public boolean in1To10(int n, boolean outsideMode)
{
    if (outsideMode) {
        // true, thus return T if <= 1 or >= 10
        if (n <= 1 || n >= 10)
            return true;
        else
            return false;
    }
    else {
        // false, thus return T if in range 1..10
        if (n >= 1 && n <= 10)
            return true;
        else
            return false;
    }
}
"
559, Is it even,1.0,11494,"Write a function that returns true if a is even, false otherwise. Just for practice, you must use an if statement. Examples:","public boolean isItEven(int a)
{
   if (a % 2 == 0)
       return true;
    else 
       return false;
}
"
40, Sum 3 integers in array,1.0,11494,"Given an array containing three ints, return the sum of all the elements. It is safe to assume that the array always has at least 3 elements. Examples:","public int sum3(int[] nums)
{
    return nums[0]+nums[1]+nums[2];
}
"
648, First 10,1.0,11494,"Write a function first10(s) that returns the first 10 characters of s. If s is longer than 10 characters, just truncate it. If s is shorter, pad it with spaces at the end of the string. Examples:","String first10(String s)
{
    if (s.length() < 10) {
        // pad it
        String b = """";
        for (int i = s.length(); i < 10; i++)
            b = b + "" "";
        return s+b;
    }
    else {
        // truncate it
		return s.substring(0, 10);
    }
}
"
661, Title Case,1.0,11494,Write a function toTitleCase(s) that returns the s converted to Title Case. Title case has each word in the s with its first letter in upper case. All other letters must be in lowercase. Examples:,"String toTitleCase(String s)
{
	s = s.toLowerCase();
    boolean nextIsTitle = true;
    String result = """";
    for (int i = 0; i < s.length(); i++) {
        if (nextIsTitle) {
            result = result + Character.toUpperCase(s.charAt(i));
            nextIsTitle = false;
        }
    	else if (s.charAt(i) == ' ') {
            result = result + s.charAt(i);
            nextIsTitle = true;
        }
		else {
            result = result + s.charAt(i);
        }
	}
	return result;

}
"
655, Words less than 20,1.0,11494,"Write a function fullWords(s) that returns a string no longer than 20 characters. If the string s is longer than 20 characters, just truncate at the space closest to the 20th position (so no word is truncated) and return it. If the string s is shorter 20 characters, just return it unchanged. Examples:","String fullWords(String s)
{
   if (s.length() <= 20) return s;
   String left = s.substring(0, 20);
   if ((s.toLowerCase().charAt(20) >='a' && s.toLowerCase().charAt(20) <='z') && (s.toLowerCase().charAt(19) >='a' && s.toLowerCase().charAt(19) <='z')){
       int pos = left.lastIndexOf("" "");
       return left.substring(0, pos);
   }
    return left;
}
"
646, Largest integer,1.0,11494,"Given an array of integers, return the largest value in the array. Assume the array has only posivitive numbers. If the array is empty, return -1.","int largest(int[] numbers)
{
    int largest = -1;
    for (int i = 0; i < numbers.length; i++) {
        if (numbers[i] > largest)
            largest = numbers[i];
    }
    return largest;
}
"
625, Count non-null strings,1.0,11494,Complete the function countStrings() so that it returns the count of Strings in the array names that are not null. Examples:,"public int countStrings(String[] names)
{
	int count = 0;
    for (String n : names) 
        if (n != null)
            count++;
    return count;
}
"
644, Repeat string,1.0,11494,"Write a function called repeat(s, n) with two parameters, a String s and an int n. The routine should return a string with s repated n times. Examples:","String repeat(String s, int n)
{
    String ns = """";
    for (int i = 0; i < n; i++)
        ns = ns + s;
    return ns;
}
"
626, Count Strings Longer Than and Not null,1.0,11494,"Complete the function countStrLongerThan() so that it returns the count of Strings in the array names that are longer than minLen. You must check for Strings in the array names that are not null. If an element in names is null, then ignore it. Examples:","public int countStrLongerThan(String[] names, int minLen)
{
	int count = 0;
    for (String n : names) 
        if (n != null && n.length() > minLen)
            count++;
    return count;
}
"
905, Create an array of ints,1.0,11503,Write a method that takes as argument an integer size and returns an integer array of that size. The method should allocate a new array of int and return it. You do not need to initialize the array. Examples:,"public int[] makeArray(int size)
{
    int[] array = new int[size];
    return array;
}
"
668, Create an array and initialize,1.0,11503,"Given a size for an array and the initial value, create and return a new int array that is initialized with initial stored in all the positions in the array. Examples:","int[] createArray(int size, int initial)
{
    int[] result = new int[size];
    
    for (int i = 0; i < result.length; i++)
        result[i] = initial;
    
    return result;
}
"
620, Size of array,1.0,11503,Complete the function getArraySize() so that it returns the size of the array passed in as an argument into the function. You cannot use a loop to count the elements in the array. Examples:,"public int getArraySize(int[] numbers)
{
    if ((numbers == null) || (numbers.length <= 0)) return 0;
  return numbers.length;
}
"
1333, Get first value,1.0,11503,"Given an array of ints, return the first value in the array. You may assume the array has at least one value.","int firstValue(int[] numbers)
{
   return numbers[0];
}
"
1334, Get last value,1.0,11503,"Given an array of ints, return the last value in the array. You may assume the array has at least one value.","int lastValue(int[] numbers)
{
   return numbers[numbers.length-1];
}
"
621, Get nth element in array,1.0,11503,Complete the function getElementAt() so that it returns the element stored at the nth position in the array numbers. You may assume that the array has at least that many elements. Examples:,"public int getElementAt(int[] numbers, int nth)
{
   return numbers[nth];
}
"
1335, Are all values even?,1.0,11503,"Given an array of ints, return true if all values in the array are even values. This routine should return false if at least one value is odd. You may assume the array has at least one value. Examples:","boolean evenValues(int[] numbers)
{
   for(int i = 0; i<numbers.length; i++){
    	if(numbers[0] % 2 != 0){
         	return false;   
        }
   }
    
    return true;
}
"
659, Sum all integer,1.0,11503,"Given an array of integers, return the sum of all the values in the array. Examples:","int sum(int[] numbers)
{
   int sum = 0;
   for(int i = 0; i<numbers.length; i++){
     sum += numbers[i];   
   }
    return sum;
}
"
623, Count negative values in array,1.0,11503,Complete the function countNegatives() so that it counts of negative values in the array numbers. You may assume that the array has some elements. Examples:,"public int countNegatives(int[] numbers) {
    int count = 0;
    for (int number : numbers) {
        if (number < 0) {
            count++;
        }
    }
    return count;
}
"
647, Get smallest integer,1.0,11503,"Given an array of ints, return the smallest value in the array. Assume the array has only posivitive numbers. If the array has no values (i.e., length is 0), return -1.","int smallest(int[] numbers)
{
   if(numbers.length == 0){
    	return -1;   
   }
   int min = numbers[0];
   for(int i = 0; i<numbers.length; i++){
    	min = Math.min(min,numbers[i]);   
   }
   return min;
}
"
1332, Get position of smallest integer,1.0,11503,"Given an array of ints, return the POSITION (i.e., the index) of smallest value in the array. Assume the array has only posivitive numbers. If the array has no values (i.e., length is 0), return -1.","int smallest(int[] numbers)
{
   if(numbers.length == 0){
    	return -1;   
   }
   int min = 0;
   for(int i = 0; i<numbers.length; i++){
    	if(numbers[min] > numbers[i]){
         	min = i;   
        }
   }
   return min;
    
}
"
665, First Integer Larger Than,1.0,11503,"Given an array of integers, return the first element in the array that is larger than maxVal. Assume the array has only posivitive numbers. If no value in numbers is larger than maxVal, then return maxVal. Examples:","int largerThan(int[] numbers, int maxVal)
{
	for(int i = 0; i<numbers.length; i++){
     	if(numbers[i] > maxVal){
         	return numbers[i];   
        }
    }
    
    return maxVal;
}
"
624, Count strings longer than,1.0,11503,Complete the function countStrLongerThan() so that it returns the count of Strings in the array names that are longer than minLen. You may assume that the array has some elements. Examples:,"public int countStrLongerThan(String[] names, int minLen)
{
    if ((names == null) || (names.length <= 0)) return 0;
    int count = 0;
    for (String name: names)
        if (name.length() > minLen) count++;
    return count;
}
"
740, Count Strings in ArrayList longer than,1.0,11503,"Complete the function countStrLongerThan() so that it returns the count of Strings in the ArrayList<String> names that are longer than minLen. Make sure that names is a valid (not null), otherwise return 0.","public int countStrLongerThan(ArrayList<String> names, int minLen)
{
    if(names == null){
     	return 0;   
    }
  int longer_then = 0;
  for(int i = 0; i<names.size(); i++){
   	if(names.get(i).length() > minLen){
     	longer_then ++;   
    }
  }
   return longer_then;
}
"
649, Get the longest string,1.0,11503,"Given an array of Strings, return the longest String in the array. If the array is empty, return null. Examples:","String longest(String[] names)
{
   if (names == null || names.length==0) return null;
   String longestStr = names[0];
   int longest = longestStr.length();
   for (String name: names)
       if (name.length() > longest){
           longest = name.length();
           longestStr = name;
       }
    return longestStr;
}

"
1137, Get value from hashmap,1.0,11563,"Consider a dictionary that, given an English word, returns the corresponding Spanish word. This dictionary is stored in a HashMap<String, String>, where the key is the English word and the value is the Spanish word. Write a method getSpanish() that returns the Spanish word from the dictionary. If the word is not found, the method should return ""?"".","String getSpanish(String english)
{
    String spanish = dictionary.get(english);
    if (spanish != null)
        return spanish;
    else
        return ""?"";
}
"
1138, Add entries to HashMap,1.0,11563,"Consider a dictionary that given an English word, returns the Spanish word. Add new English-Spanish word pairs to the dictionary. Remember, you add words to a HashMap by calling the put() method. dictionary.put( <<word english>>, <<word in spanish>>) Write a method that adds the following English-Spanish word pairs to the dictionary:","void addNewWords()
{
    // one line per set of word added
    dictionary.put(""dog"", ""perro"");
    dictionary.put(""cat"", ""gato"");
    dictionary.put(""guinea pig"", ""cobaya"");
    dictionary.put(""fish"", ""pez"");
    dictionary.put(""bird"", ""pájaro"");
    dictionary.put(""parakeet"", ""perico"");
    dictionary.put(""turtle"", ""tortuga"");
    dictionary.put(""snake"", ""serpiente"");
    
    
}
"
1139, Add entries from array to a HashMap,1.0,11563,"Instead of writing multiple lines of code to add each word pair individually, you can store all the English words in one array and their corresponding Spanish translations in another associated array. Then, loop over the arrays to add the word pairs to the dictionary. You can assume that the English and Spanish arrays have the same size.","void addWords(String[] english, String[] spanish)
{
    for (int i = 0; i < english.length; i++)
        dictionary.put(english[i], spanish[i]);
}
"
1140, Create a reversed HashMap,1.0,11563,"Let's assume we want to create a new Spanish-to-English dictionary, named diccionario, which translates from Spanish to English. We already have an English-to-Spanish dictionary defined, which returns the Spanish translation for a given English word. To create the Spanish-to-English dictionary, follow these steps: To add a key-value pair to a HashMap, use the put() method: dictionary.put(<<spanish word>>, <<english word>>); To retrieve the associated value for a given key from a HashMap, use the get() method: dictionary.get(<<spanish word>>);","HashMap<String, String> reverseDictionary()
{
    HashMap<String, String> diccionario;

    // allocate a new HashMap
    diccionario = new HashMap<String, String>();

    // loop over all the words in the english one
    for (String english : dictionary.keySet()) {
        // now look up the spanish in dictionary
        String spanish = dictionary.get(english);

        // then add them to the diccionario
        diccionario.put(spanish, english);
    }

    return diccionario;
}
"
1228, Hash Function with Mod,1.0,11573,"Write a Java function called hashKey() that takes two parameters: a value to be stored in a hash table and the size of the table. This function should return the index where the value will be stored. The hashKey() function will be simple, returning the result of the value modulo the size of the table. Examples:","

    public static int hashKey(int value, int size) {
        if (size <= 0) {
            throw new IllegalArgumentException(""Size of the hash table must be greater than zero."");
        }
        return value % size;
    }

    public static void main(String[] args) {
        // Example usage
        System.out.println(hashKey(123, 10)); // Should print 3
        System.out.println(hashKey(456, 10)); // Should print 6
    }
"
1229, Hash Function Sum Digits,1.0,11573,"Write a Java function called hashSumDigits() that takes two parameters: a non-negative value to be stored in a hash table and the size of the table. This function returns the index where the value will be stored. The hash function works by summing all the digits of the value and then returning the result of that sum modulo the size of the table. Use a loop to sum all the digits. Remember that using the modulus operator (%) with 10 yields the rightmost digit (e.g., 126 % 10 is 6), while division (/) by 10 removes the rightmost digit (e.g., 126 / 10 is 12). Examples:","

    public static int hashSumDigits(int value, int size) {
        if (size <= 0) {
            throw new IllegalArgumentException(""Size of the hash table must be greater than zero."");
        }
        
        int sum = 0;
        while (value > 0) {
            sum += value % 10;
            value /= 10;
        }
        
        return sum % size;
    }

"
1231, Hash ASCII Strings,1.0,11573,"Complete the function that computes a hash key for a string. The function computes a hash key based on the argument value and does a mod with the size of the table size. This function returns the index where the input string will be stored. The function works by summing the ASCII values of the characters in the input string, already stored in ch[], and then returning the result of that sum modulo the size of the table. Use a loop to sum the ASCII values of all the characters in the input string. For example, the ASCII value of 'a' is 97, 'b' is 98, 'A' is 65, and 'B' is 66. The sum of the ASCII values of all the characters in the string ""AaBb"" is 65 + 97 + 66 + 98, which equals 326. If the table size is 100, sascii(""AaBb, 100) will return 26. Examples:","public static int sascii(String value, int size) {
        if (size <= 0) {
            throw new IllegalArgumentException(""Size of the hash table must be greater than zero."");
        }
        
        char[] ch = value.toCharArray();
        int sum = 0;
        
        for (int i = 0; i < ch.length; i++) {
            sum += ch[i]; // Accumulate the ASCII value of ch[i]
        }
        
        return sum % size; // Return the result of the sum modulo the size
    }"
1230, Character Position,1.0,11573,"Write a function that returns the position of a character in the alphabet. The function should consider 'A' as 0, 'B' as 1, 'C' as 2, ..., and 'Z' as 25. It should return the same position for both upper and lower case letters (e.g., 'A' and 'a' both return 0). The function accepts a character ch and returns its position in the alphabet. Characters are represented by numerical codes, so the difference between ch and 'A' (or 'a') can be used to determine the position. Make sure to handle both upper and lower case letters appropriately. Examples:","public static int charPosition(char ch) {
        // Convert the character to uppercase
        char upperCh = Character.toUpperCase(ch);
        
        // Check if the character is within the valid range 'A' to 'Z'
        if (upperCh < 'A' || upperCh > 'Z') {
            throw new IllegalArgumentException(""Character must be an uppercase or lowercase letter."");
        }
        
        // Calculate the position (0 for 'A', 1 for 'B', etc.)
        return upperCh - 'A';
    }"
